split,image_stem,label,line,class_id,class_name,x_center,y_center,width,height,bbox_area,bbox_percent
train,dfire_train_WEB05846,dfire_train_WEB05846.txt,10,1,smoke,0.49726563,0.49652778,0.98828125,0.99305556,0.9814181902,98.1418
train,dfire_train_WEB05845,dfire_train_WEB05845.txt,9,1,smoke,0.50078125,0.49791667,0.99375,0.9875,0.981328125,98.1328
train,dfire_train_WEB05844,dfire_train_WEB05844.txt,10,1,smoke,0.49960938,0.5,0.99140625,0.98611111,0.9776367176,97.7637
test,dfire_test_WEB10870,dfire_test_WEB10870.txt,1,1,smoke,0.5,0.49930556,0.9921875,0.98472222,0.9770290777,97.7029
train,dfire_train_WEB05843,dfire_train_WEB05843.txt,9,1,smoke,0.50078125,0.50208333,0.9890625,0.98194444,0.9712044227,97.1204
train,dfire_train_WEB05840,dfire_train_WEB05840.txt,8,1,smoke,0.49882813,0.49861111,0.99296875,0.97777778,0.97090278,97.0903
train,dfire_train_WEB06774,dfire_train_WEB06774.txt,3,1,smoke,0.4984375,0.49583333,0.9921875,0.97777778,0.9701388911,97.0139
train,dfire_train_WEB05849,dfire_train_WEB05849.txt,1,1,smoke,0.49726563,0.49861111,0.99140625,0.97777778,0.9693750022,96.9375
train,dfire_train_WEB05857,dfire_train_WEB05857.txt,7,1,smoke,0.50078125,0.49722222,0.99375,0.975,0.96890625,96.8906
train,dfire_train_WEB05980,dfire_train_WEB05980.txt,1,1,smoke,0.496875,0.50069444,0.98125,0.98194444,0.9635329818,96.3533
val,dfire_val_WEB07185,dfire_val_WEB07185.txt,4,1,smoke,0.49755859,0.49739583,0.98339844,0.97395833,0.9577891023,95.7789
train,dfire_train_WEB05622,dfire_train_WEB05622.txt,2,1,smoke,0.5,0.483533,0.981481,0.967066,0.9491569047,94.9157
test,dfire_test_WEB10867,dfire_test_WEB10867.txt,2,1,smoke,0.50252951,0.48314607,0.97470489,0.95730337,0.933088276,93.3088
test,dfire_test_WEB10635,dfire_test_WEB10635.txt,6,1,smoke,0.51953125,0.49583333,0.9515625,0.975,0.9277734375,92.7773
train,dfire_train_WEB08321,dfire_train_WEB08321.txt,4,1,smoke,0.49921875,0.47361111,0.9890625,0.93055556,0.9203776086,92.0378
val,dfire_val_WEB05805,dfire_val_WEB05805.txt,2,1,smoke,0.50234375,0.48011364,0.9890625,0.92613636,0.9160067436,91.6007
train,dfire_train_WEB04621,dfire_train_WEB04621.txt,4,1,smoke,0.49921875,0.48194444,0.9765625,0.93055556,0.9087456641,90.8746
val,dfire_val_WEB08152,dfire_val_WEB08152.txt,1,1,smoke,0.52428571,0.50537634,0.92285714,0.97204301,0.8970568322,89.7057
train,dfire_train_WEB09069,dfire_train_WEB09069.txt,1,1,smoke,0.51491569,0.48123827,0.93125811,0.9587242,0.8928196865,89.282
train,dfire_train_WEB07418,dfire_train_WEB07418.txt,1,1,smoke,0.45269382,0.50520833,0.89487516,0.984375,0.8808927356,88.0893
val,dfire_val_WEB04136,dfire_val_WEB04136.txt,2,1,smoke,0.5025,0.4727955,0.98,0.89305816,0.8751969968,87.5197
train,dfire_train_WEB06853,dfire_train_WEB06853.txt,1,1,smoke,0.50285714,0.45124283,0.98285714,0.88718929,0.8719803282,87.198
val,dfire_val_WEB06765,dfire_val_WEB06765.txt,1,1,smoke,0.49921875,0.44930556,0.9890625,0.87638889,0.8668033865,86.6803
test,dfire_test_PublicDataset01141,dfire_test_PublicDataset01141.txt,1,1,smoke,0.49375,0.48472222,0.97083333,0.88611111,0.8602661997,86.0266
train,dfire_train_WEB04623,dfire_train_WEB04623.txt,4,1,smoke,0.56015625,0.50694444,0.8703125,0.98055556,0.8533897608,85.339
val,dfire_val_WEB06108,dfire_val_WEB06108.txt,1,1,smoke,0.54875,0.48833333,0.8725,0.96333333,0.8405083304,84.0508
val,dfire_val_WEB05806,dfire_val_WEB05806.txt,3,1,smoke,0.5015625,0.43181818,0.990625,0.84090909,0.8330255673,83.3026
train,dfire_train_WEB06759,dfire_train_WEB06759.txt,1,1,smoke,0.43632813,0.48819444,0.86484375,0.9625,0.8324121094,83.2412
train,dfire_train_WEB06382,dfire_train_WEB06382.txt,1,1,smoke,0.57052897,0.5,0.84382872,0.98113208,0.8279074272,82.7907
train,dfire_train_WEB07838,dfire_train_WEB07838.txt,6,1,smoke,0.49291667,0.43777778,0.9675,0.84592593,0.8184333373,81.8433
train,dfire_train_WEB09205,dfire_train_WEB09205.txt,1,1,smoke,0.53125,0.44044321,0.934375,0.87534626,0.8179016617,81.7902
train,dfire_train_WEB04558,dfire_train_WEB04558.txt,2,1,smoke,0.50391236,0.43224299,0.98904538,0.82242991,0.8134205029,81.3421
train,dfire_train_WEB03732,dfire_train_WEB03732.txt,3,1,smoke,0.50252016,0.42400568,0.9828629,0.81676136,0.8027644389,80.2764
train,dfire_train_WEB04618,dfire_train_WEB04618.txt,4,1,smoke,0.57578125,0.49583333,0.8359375,0.95833333,0.801106768,80.1107
