epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2046,1.87009,2.4464,1.78654,0.27701,0.34902,0.27324,0.10951,2.03683,2.52,2.02819,0.000330218,0.000330218,0.0673084
2,30.3122,1.8723,2.18897,1.80245,0.28688,0.31057,0.21207,0.07895,2.05758,3.36132,1.98045,0.000663479,0.000663479,0.0343083
3,44.5412,1.85904,2.18608,1.8503,0.24582,0.42813,0.22486,0.08803,2.23509,2.88731,2.13253,0.000996452,0.000996452,0.00130798
4,58.9468,1.85413,2.10936,1.85634,0.36999,0.41437,0.31026,0.11404,2.02148,2.73607,2.04794,0.000999023,0.000999023,0.000999023
5,73.7204,1.81699,2.00516,1.77717,0.36687,0.4154,0.33773,0.13966,1.96976,2.67758,1.95564,0.000998264,0.000998264,0.000998264
6,88.5708,1.84049,2.03118,1.79537,0.36084,0.42441,0.32118,0.13466,1.98702,2.50693,1.89395,0.000997288,0.000997288,0.000997288
7,102.957,1.77449,2.01412,1.77345,0.35625,0.43,0.33928,0.1265,2.0162,2.23688,1.90366,0.000996097,0.000996097,0.000996097
8,117.129,1.78474,2.03716,1.76522,0.4056,0.40871,0.34362,0.1399,1.92616,2.71529,1.98071,0.00099469,0.00099469,0.00099469
9,132.152,1.77531,1.98063,1.76346,0.41459,0.51612,0.39595,0.16642,1.92866,2.13637,1.89575,0.000993068,0.000993068,0.000993068
10,146.917,1.7562,1.87592,1.72146,0.4938,0.42038,0.38031,0.16503,1.94385,2.2105,1.92872,0.000991232,0.000991232,0.000991232
11,161.091,1.73323,1.88434,1.72017,0.42428,0.48468,0.40693,0.17307,1.95406,2.01308,1.86384,0.000989183,0.000989183,0.000989183
12,176.105,1.73659,1.86028,1.72004,0.51582,0.4819,0.47726,0.20605,1.84699,2.18751,1.79233,0.000986922,0.000986922,0.000986922
13,190.924,1.69958,1.8182,1.67887,0.50405,0.48109,0.45391,0.20671,1.84731,1.94279,1.80202,0.000984449,0.000984449,0.000984449
14,205.892,1.67591,1.80678,1.70866,0.51781,0.50371,0.4389,0.19331,1.84451,1.96381,1.8189,0.000981765,0.000981765,0.000981765
15,220.057,1.72472,1.82675,1.72381,0.57116,0.40629,0.45367,0.20628,1.82225,1.96573,1.7687,0.000978873,0.000978873,0.000978873
16,234.259,1.67064,1.71449,1.66017,0.51232,0.5014,0.46867,0.20285,1.87071,2.1013,1.81554,0.000975773,0.000975773,0.000975773
17,248.659,1.67367,1.79624,1.66485,0.48906,0.54194,0.47211,0.18744,1.92226,1.91457,1.86126,0.000972466,0.000972466,0.000972466
18,262.853,1.64406,1.76838,1.65012,0.48747,0.51138,0.45335,0.20074,1.84219,1.91858,1.78765,0.000968955,0.000968955,0.000968955
19,277.302,1.60833,1.69336,1.6554,0.50137,0.52292,0.50221,0.22905,1.82963,1.9428,1.80904,0.000965239,0.000965239,0.000965239
20,292.49,1.63725,1.69559,1.6445,0.49542,0.51944,0.45037,0.20756,1.76947,2.00085,1.76356,0.000961322,0.000961322,0.000961322
21,306.687,1.59743,1.70263,1.63233,0.54575,0.50771,0.48262,0.2168,1.84815,1.90898,1.76565,0.000957205,0.000957205,0.000957205
22,321.039,1.6215,1.67885,1.6253,0.56532,0.51159,0.51538,0.23278,1.84946,1.9623,1.75527,0.000952889,0.000952889,0.000952889
23,335.848,1.61524,1.64795,1.62475,0.54706,0.53594,0.50769,0.22881,1.83212,1.84935,1.79003,0.000948377,0.000948377,0.000948377
24,350.181,1.5458,1.62875,1.5958,0.55167,0.52599,0.51253,0.21817,1.89609,1.7987,1.8283,0.000943671,0.000943671,0.000943671
25,364.56,1.60614,1.64761,1.61958,0.53346,0.57111,0.57245,0.26938,1.81335,1.9219,1.74329,0.000938772,0.000938772,0.000938772
26,379.338,1.57192,1.56361,1.58795,0.55455,0.51018,0.49758,0.23069,1.80386,1.91809,1.77349,0.000933683,0.000933683,0.000933683
27,393.702,1.54786,1.57836,1.57687,0.66311,0.51359,0.53969,0.25852,1.81119,1.72061,1.75183,0.000928405,0.000928405,0.000928405
28,407.903,1.54413,1.52101,1.53559,0.55434,0.52578,0.51608,0.22704,1.88587,1.85492,1.78636,0.000922942,0.000922942,0.000922942
29,422.345,1.57141,1.53924,1.57715,0.54387,0.44834,0.44289,0.20807,1.93723,1.94845,1.86562,0.000917296,0.000917296,0.000917296
30,436.759,1.63636,1.58537,1.60717,0.5106,0.58356,0.51846,0.22531,1.87483,1.7958,1.77323,0.000911469,0.000911469,0.000911469
31,450.923,1.55831,1.53909,1.59108,0.54348,0.5219,0.50189,0.24337,1.85991,1.72444,1.78393,0.000905463,0.000905463,0.000905463
32,465.268,1.54755,1.51182,1.54981,0.59533,0.50316,0.53384,0.24886,1.87072,1.91011,1.79714,0.000899282,0.000899282,0.000899282
33,479.448,1.54257,1.51199,1.58026,0.668,0.50384,0.57429,0.25283,1.86957,1.75828,1.76105,0.000892928,0.000892928,0.000892928
34,493.844,1.46302,1.43635,1.52321,0.62279,0.52997,0.53831,0.24947,1.8361,1.758,1.77909,0.000886404,0.000886404,0.000886404
35,508.246,1.50448,1.46111,1.54156,0.56108,0.56724,0.54499,0.24809,1.84247,1.84364,1.79627,0.000879713,0.000879713,0.000879713
36,522.382,1.51214,1.42457,1.52977,0.56259,0.54759,0.56108,0.27632,1.80516,1.70679,1.74565,0.000872857,0.000872857,0.000872857
37,537.36,1.5167,1.42741,1.55839,0.57105,0.5634,0.57462,0.27019,1.84972,1.66545,1.77738,0.000865839,0.000865839,0.000865839
38,551.553,1.50036,1.43118,1.53268,0.61465,0.48346,0.51087,0.24402,1.88405,1.75438,1.79981,0.000858664,0.000858664,0.000858664
39,566.001,1.49923,1.39578,1.5093,0.63722,0.51578,0.56325,0.26789,1.85948,1.75673,1.76424,0.000851333,0.000851333,0.000851333
40,580.375,1.4731,1.3879,1.51481,0.56309,0.55559,0.52402,0.24056,1.82499,1.72976,1.7967,0.000843851,0.000843851,0.000843851
41,594.526,1.44896,1.39157,1.48103,0.53685,0.556,0.52453,0.25146,1.79813,1.73361,1.72686,0.00083622,0.00083622,0.00083622
42,608.872,1.45393,1.34923,1.52164,0.61006,0.54771,0.5721,0.28589,1.77809,1.62491,1.72778,0.000828443,0.000828443,0.000828443
43,624.535,1.47923,1.34476,1.49399,0.68157,0.50984,0.5699,0.27119,1.78662,1.67041,1.7432,0.000820525,0.000820525,0.000820525
44,639.001,1.45596,1.31326,1.50075,0.60049,0.57149,0.58574,0.29274,1.78147,1.69424,1.75181,0.000812468,0.000812468,0.000812468
45,653.833,1.43508,1.31956,1.49725,0.65707,0.5774,0.6003,0.29416,1.85207,1.65478,1.78732,0.000804277,0.000804277,0.000804277
46,668.606,1.40838,1.27129,1.48569,0.62571,0.57056,0.58382,0.27932,1.83461,1.76877,1.76282,0.000795954,0.000795954,0.000795954
47,682.962,1.41262,1.26705,1.48477,0.60022,0.52565,0.56536,0.28165,1.81336,1.71972,1.76483,0.000787503,0.000787503,0.000787503
48,697.142,1.36058,1.23745,1.43921,0.66962,0.54263,0.58357,0.28343,1.80589,1.66371,1.75009,0.000778929,0.000778929,0.000778929
49,711.574,1.40796,1.28058,1.49115,0.58078,0.58547,0.59726,0.3085,1.76628,1.61333,1.75146,0.000770234,0.000770234,0.000770234
50,726.587,1.34475,1.25976,1.42618,0.67964,0.52578,0.59842,0.28713,1.83091,1.61926,1.75143,0.000761423,0.000761423,0.000761423
51,740.78,1.37512,1.39582,1.44389,0.61614,0.59143,0.60929,0.30413,1.8082,1.55671,1.78796,0.0007525,0.0007525,0.0007525
52,755.119,1.3504,1.21268,1.41983,0.62699,0.59949,0.60554,0.29033,1.82944,1.56013,1.77448,0.000743468,0.000743468,0.000743468
53,769.294,1.38712,1.25543,1.44738,0.60487,0.60949,0.60744,0.29791,1.81236,1.58905,1.77703,0.000734332,0.000734332,0.000734332
54,783.837,1.33359,1.22647,1.41739,0.6654,0.49038,0.55129,0.26731,1.83255,1.72976,1.80532,0.000725094,0.000725094,0.000725094
