epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.2212,1.80286,2.99213,1.76477,0.00276,0.26984,0.02058,0.0055,2.77026,4.10461,3.06109,0.00026,0.00026,0.07426
2,13.4833,1.77295,2.20427,1.6933,0.14643,0.60254,0.19174,0.07769,1.92758,3.44187,1.87713,0.000529942,0.000529942,0.0475299
3,17.7055,1.73458,2.05011,1.68956,0.37773,0.37135,0.30667,0.12881,1.9268,2.61891,1.95801,0.000799653,0.000799653,0.0207997
4,22.2791,1.73597,1.95482,1.67531,0.37567,0.35794,0.27966,0.10457,1.93375,3.30138,1.9765,0.000999023,0.000999023,0.000999023
5,26.4035,1.7607,1.8941,1.67123,0.32234,0.36657,0.23471,0.09167,1.93893,2.58691,2.00324,0.000998264,0.000998264,0.000998264
6,30.5077,1.70308,1.86003,1.64808,0.41464,0.37825,0.31554,0.10794,1.97266,2.26465,1.96706,0.000997288,0.000997288,0.000997288
7,34.5987,1.69625,1.77995,1.62856,0.39274,0.37384,0.30149,0.12213,1.92108,2.2008,1.86741,0.000996097,0.000996097,0.000996097
8,38.6887,1.70082,1.83095,1.64827,0.51756,0.43606,0.4617,0.19712,1.84912,2.11968,1.80027,0.00099469,0.00099469,0.00099469
9,42.9566,1.63983,1.725,1.62114,0.436,0.45359,0.38295,0.16684,1.92962,1.99765,1.85592,0.000993068,0.000993068,0.000993068
10,47.0649,1.66742,1.74454,1.6239,0.55526,0.41841,0.44516,0.19007,1.89482,2.02596,1.77979,0.000991232,0.000991232,0.000991232
11,51.1944,1.67058,1.71787,1.63866,0.48675,0.39095,0.38192,0.14733,1.94762,2.20345,1.85968,0.000989183,0.000989183,0.000989183
12,55.3309,1.64116,1.67635,1.60953,0.55806,0.42868,0.44269,0.1856,1.90182,2.1161,1.85793,0.000986922,0.000986922,0.000986922
13,59.544,1.66353,1.68169,1.6071,0.4611,0.46049,0.40245,0.16871,1.88055,1.98022,1.81007,0.000984449,0.000984449,0.000984449
14,63.694,1.61427,1.60947,1.58883,0.507,0.50152,0.48243,0.20577,1.84745,2.26534,1.83698,0.000981765,0.000981765,0.000981765
