epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4527,1.89117,2.7968,1.78905,0.32611,0.35793,0.25428,0.10001,2.01723,2.49546,2.12192,0.00032716,0.00032716,0.0676111
2,17.6174,1.78051,1.9522,1.66978,0.37834,0.37044,0.29345,0.1203,2.05686,2.37736,1.89512,0.000660422,0.000660422,0.034611
3,25.1713,1.79107,1.90908,1.70707,0.36316,0.48607,0.35391,0.13908,1.90378,2.9087,1.85668,0.000993396,0.000993396,0.00161068
4,33.0421,1.77351,1.90985,1.7071,0.33024,0.45412,0.28825,0.11647,1.99557,4.68098,2.00896,0.000999023,0.000999023,0.000999023
5,40.3174,1.80276,1.89896,1.686,0.43835,0.37854,0.30547,0.11607,2.09569,2.1164,1.93807,0.000998264,0.000998264,0.000998264
6,47.6236,1.74379,1.79851,1.685,0.49465,0.444,0.40643,0.14609,1.98258,2.10387,1.92845,0.000997288,0.000997288,0.000997288
7,55.1956,1.70498,1.75059,1.63351,0.45135,0.49293,0.43198,0.18026,1.92996,2.04498,1.82933,0.000996097,0.000996097,0.000996097
8,62.8802,1.69301,1.73185,1.63944,0.49861,0.47397,0.45004,0.18741,1.88811,1.82839,1.79807,0.00099469,0.00099469,0.00099469
9,70.4602,1.63163,1.78054,1.59927,0.57792,0.43562,0.44882,0.19256,1.85204,1.87891,1.78809,0.000993068,0.000993068,0.000993068
10,78.2263,1.70144,1.68899,1.64155,0.55341,0.48415,0.50127,0.21006,1.89379,1.9352,1.76106,0.000991232,0.000991232,0.000991232
11,85.7642,1.70565,1.67223,1.6344,0.47009,0.50978,0.47042,0.20516,1.82397,1.77754,1.7167,0.000989183,0.000989183,0.000989183
12,93.0236,1.69805,1.71016,1.62808,0.52458,0.42025,0.42216,0.1791,1.95497,1.84435,1.80215,0.000986922,0.000986922,0.000986922
13,100.316,1.6128,1.5935,1.56717,0.51347,0.51152,0.4794,0.2078,1.85677,1.78201,1.76296,0.000984449,0.000984449,0.000984449
14,107.691,1.6494,1.5776,1.58917,0.47611,0.49703,0.44901,0.19934,1.84087,1.7298,1.76259,0.000981765,0.000981765,0.000981765
15,115.176,1.5849,1.5159,1.56128,0.59855,0.51565,0.50137,0.22279,1.7827,1.69638,1.72355,0.000978873,0.000978873,0.000978873
16,122.744,1.58492,1.49491,1.5578,0.55707,0.49281,0.48344,0.20979,1.84083,1.78293,1.69488,0.000975773,0.000975773,0.000975773
17,130.024,1.60035,1.5479,1.56216,0.66067,0.50362,0.54414,0.25875,1.75747,1.5729,1.68027,0.000972466,0.000972466,0.000972466
18,137.58,1.53249,1.53843,1.52735,0.60055,0.54581,0.54786,0.25369,1.79954,1.61854,1.72108,0.000968955,0.000968955,0.000968955
19,145.066,1.54836,1.47562,1.54471,0.62931,0.52107,0.54857,0.24875,1.82003,1.67948,1.72411,0.000965239,0.000965239,0.000965239
20,152.339,1.54027,1.55757,1.50094,0.61234,0.53485,0.57036,0.25546,1.8375,1.62489,1.72501,0.000961322,0.000961322,0.000961322
21,159.616,1.56182,1.43916,1.50625,0.64572,0.51349,0.57163,0.27277,1.76025,1.60785,1.6741,0.000957205,0.000957205,0.000957205
22,167.187,1.56106,1.529,1.52178,0.67888,0.53159,0.60077,0.28072,1.74724,1.60787,1.65781,0.000952889,0.000952889,0.000952889
23,174.69,1.49521,1.48588,1.49756,0.59245,0.53346,0.53131,0.25203,1.7977,1.63349,1.72324,0.000948377,0.000948377,0.000948377
24,182.127,1.53506,1.4431,1.50161,0.66026,0.51956,0.56468,0.24614,1.82667,1.60581,1.73336,0.000943671,0.000943671,0.000943671
25,189.415,1.55,1.38776,1.52378,0.66417,0.52752,0.56534,0.26194,1.75612,1.57045,1.69384,0.000938772,0.000938772,0.000938772
26,196.689,1.47605,1.34954,1.45312,0.66455,0.54756,0.59613,0.2828,1.80361,1.52857,1.723,0.000933683,0.000933683,0.000933683
