epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,318.275,1.77691,2.13156,1.74166,0.43215,0.38779,0.33513,0.15192,1.76522,3.46214,1.91421,0.000333194,0.000333194,0.0670138
2,622.182,1.76638,2.0646,1.74619,0.50537,0.45844,0.44301,0.21684,1.62812,2.99801,1.74381,0.000666455,0.000666455,0.0340137
3,924.173,1.71177,1.96867,1.69804,0.51336,0.48125,0.45463,0.22691,1.56496,2.52502,1.71071,0.000999427,0.000999427,0.00101332
4,1225.38,1.67247,1.90453,1.67148,0.57351,0.52278,0.53145,0.27165,1.55023,2.27719,1.70404,0.000999023,0.000999023,0.000999023
5,1526.49,1.64349,1.85069,1.64989,0.61333,0.51648,0.54967,0.2863,1.52571,2.13773,1.67271,0.000998264,0.000998264,0.000998264
6,1827.51,1.60995,1.77463,1.61682,0.63246,0.53779,0.57024,0.3142,1.45849,1.93,1.59547,0.000997288,0.000997288,0.000997288
7,2128.51,1.60009,1.75134,1.60964,0.61893,0.55405,0.58061,0.31101,1.48426,2.10701,1.63005,0.000996097,0.000996097,0.000996097
8,2428.48,1.58022,1.7333,1.59585,0.6402,0.55442,0.59156,0.32942,1.44403,2.1037,1.60214,0.00099469,0.00099469,0.00099469
9,2728.73,1.56871,1.69043,1.59455,0.61909,0.56648,0.59601,0.33139,1.43847,1.96328,1.60507,0.000993068,0.000993068,0.000993068
10,3029.31,1.55841,1.67312,1.58575,0.61457,0.56557,0.5965,0.32818,1.42247,1.90949,1.59353,0.000991232,0.000991232,0.000991232
11,3328.47,1.55542,1.65654,1.58328,0.63131,0.56485,0.6016,0.34021,1.41428,1.92945,1.58873,0.000989183,0.000989183,0.000989183
12,3627.88,1.53383,1.63215,1.56908,0.66425,0.59126,0.62844,0.34971,1.39733,1.78411,1.57405,0.000986922,0.000986922,0.000986922
13,3927.52,1.53149,1.61799,1.56484,0.67684,0.57631,0.63774,0.35832,1.42239,1.83614,1.57456,0.000984449,0.000984449,0.000984449
14,4226.93,1.52629,1.59631,1.55697,0.65402,0.58792,0.6343,0.36243,1.37851,1.71722,1.54855,0.000981765,0.000981765,0.000981765
15,4526.55,1.52012,1.5774,1.55247,0.67104,0.57329,0.63229,0.36241,1.38479,1.83697,1.56048,0.000978873,0.000978873,0.000978873
16,4825.44,1.51172,1.56417,1.54245,0.66509,0.57309,0.62201,0.34978,1.3891,1.88787,1.55811,0.000975773,0.000975773,0.000975773
17,5124.53,1.49899,1.55592,1.53873,0.69192,0.59511,0.65535,0.38013,1.33803,1.75449,1.50629,0.000972466,0.000972466,0.000972466
18,5424,1.48857,1.53662,1.52677,0.68254,0.61043,0.66048,0.38741,1.33975,1.67326,1.5128,0.000968955,0.000968955,0.000968955
19,5723.58,1.48145,1.5209,1.52653,0.69778,0.60961,0.67379,0.39476,1.33331,1.57682,1.50773,0.000965239,0.000965239,0.000965239
20,6023.1,1.48596,1.5164,1.53063,0.69222,0.60331,0.66483,0.38662,1.35934,1.59384,1.53861,0.000961322,0.000961322,0.000961322
21,6322.05,1.48302,1.5033,1.52039,0.67803,0.61237,0.66255,0.38555,1.35012,1.63939,1.5222,0.000957205,0.000957205,0.000957205
22,6621.07,1.47436,1.48211,1.51299,0.67696,0.62041,0.66433,0.39214,1.33456,1.61398,1.5147,0.000952889,0.000952889,0.000952889
23,6919.88,1.47174,1.46834,1.5164,0.6781,0.6286,0.67457,0.3972,1.3171,1.59262,1.5008,0.000948377,0.000948377,0.000948377
24,7219.48,1.46856,1.46885,1.50807,0.70033,0.6149,0.67341,0.39817,1.33951,1.5777,1.51042,0.000943671,0.000943671,0.000943671
25,7519.07,1.45871,1.45863,1.50775,0.7124,0.60738,0.6763,0.39898,1.33381,1.63751,1.50979,0.000938772,0.000938772,0.000938772
26,7818.54,1.45532,1.45496,1.5063,0.70503,0.62029,0.68303,0.40642,1.31,1.52511,1.50754,0.000933683,0.000933683,0.000933683
27,8118.03,1.44453,1.42861,1.49701,0.69848,0.61463,0.67299,0.39983,1.31262,1.652,1.50214,0.000928405,0.000928405,0.000928405
28,8416.86,1.43743,1.43224,1.49328,0.70002,0.62606,0.68321,0.40606,1.30784,1.52614,1.49133,0.000922942,0.000922942,0.000922942
29,8715.7,1.43112,1.41484,1.48909,0.69968,0.62374,0.67833,0.40954,1.31493,1.54565,1.50143,0.000917296,0.000917296,0.000917296
30,9015.21,1.42948,1.41016,1.48251,0.70533,0.62894,0.69343,0.41926,1.30703,1.46985,1.49295,0.000911469,0.000911469,0.000911469
31,9314.6,1.42792,1.39462,1.47923,0.6998,0.63397,0.69318,0.41851,1.29808,1.44775,1.48765,0.000905463,0.000905463,0.000905463
32,9613.35,1.41986,1.389,1.47649,0.69616,0.63955,0.68882,0.41854,1.28593,1.48722,1.48272,0.000899282,0.000899282,0.000899282
33,10025.9,1.42287,1.37702,1.48187,0.71749,0.62503,0.69218,0.42075,1.28612,1.48324,1.47219,0.000892928,0.000892928,0.000892928
34,10348.4,1.41491,1.37267,1.47436,0.71376,0.63126,0.69657,0.42277,1.28641,1.42885,1.4758,0.000886404,0.000886404,0.000886404
35,10647.8,1.41003,1.36108,1.47019,0.70748,0.62901,0.69401,0.41944,1.29369,1.47952,1.47633,0.000879713,0.000879713,0.000879713
36,10946.6,1.40768,1.36747,1.47345,0.71612,0.63561,0.69916,0.42451,1.26618,1.41747,1.46687,0.000872857,0.000872857,0.000872857
37,11246.2,1.40769,1.35111,1.47316,0.70176,0.65014,0.70267,0.42634,1.27878,1.37473,1.47341,0.000865839,0.000865839,0.000865839
38,11545.7,1.40504,1.34386,1.4609,0.71249,0.63522,0.69979,0.42696,1.27613,1.38576,1.46676,0.000858664,0.000858664,0.000858664
39,11845.1,1.38929,1.3284,1.45419,0.71454,0.6437,0.70626,0.42875,1.27128,1.40156,1.46165,0.000851333,0.000851333,0.000851333
40,12144.5,1.38648,1.32022,1.45461,0.71745,0.63809,0.70907,0.43197,1.26501,1.3417,1.45938,0.000843851,0.000843851,0.000843851
41,12443.9,1.38565,1.31784,1.45434,0.71038,0.6443,0.70512,0.42865,1.27572,1.39938,1.46014,0.00083622,0.00083622,0.00083622
42,12742.9,1.38584,1.30795,1.44263,0.71106,0.64152,0.70718,0.43316,1.268,1.34742,1.45922,0.000828443,0.000828443,0.000828443
43,13042.7,1.38112,1.30563,1.44464,0.7182,0.65046,0.7122,0.43342,1.25956,1.32589,1.45311,0.000820525,0.000820525,0.000820525
44,13342.1,1.37188,1.2884,1.4388,0.71139,0.6514,0.7098,0.43266,1.26872,1.29191,1.46575,0.000812468,0.000812468,0.000812468
45,13641.4,1.36536,1.27931,1.4334,0.70713,0.65363,0.71245,0.43358,1.26479,1.30205,1.46689,0.000804277,0.000804277,0.000804277
46,13941,1.369,1.2725,1.43672,0.72479,0.65359,0.71948,0.43675,1.26521,1.32504,1.46884,0.000795954,0.000795954,0.000795954
47,14240.6,1.35963,1.26773,1.43306,0.72765,0.64424,0.71332,0.43707,1.25898,1.34796,1.46066,0.000787503,0.000787503,0.000787503
48,14540.5,1.35694,1.24804,1.43028,0.71966,0.65075,0.71668,0.43979,1.25995,1.35262,1.46127,0.000778929,0.000778929,0.000778929
49,14840.2,1.34559,1.23788,1.42147,0.73378,0.64404,0.71612,0.43977,1.2688,1.36126,1.46703,0.000770234,0.000770234,0.000770234
50,15139.3,1.3442,1.23178,1.41676,0.72383,0.64803,0.71523,0.44015,1.2653,1.35387,1.46526,0.000761423,0.000761423,0.000761423
51,15439.1,1.33653,1.227,1.41567,0.72698,0.64852,0.71508,0.43886,1.26755,1.34743,1.46864,0.0007525,0.0007525,0.0007525
52,15737.7,1.33514,1.22037,1.41023,0.72896,0.64859,0.71768,0.43962,1.2671,1.3332,1.46863,0.000743468,0.000743468,0.000743468
53,16036.8,1.33037,1.20828,1.409,0.72389,0.65582,0.71951,0.44051,1.26711,1.30859,1.47134,0.000734332,0.000734332,0.000734332
54,16336.6,1.329,1.20627,1.40661,0.72234,0.661,0.72163,0.44191,1.27313,1.32538,1.47365,0.000725094,0.000725094,0.000725094
55,16636.7,1.32042,1.19174,1.39916,0.71862,0.66162,0.72281,0.44398,1.26902,1.31624,1.47222,0.000715761,0.000715761,0.000715761
56,16936.3,1.31577,1.18639,1.39545,0.71249,0.66701,0.72058,0.44493,1.26703,1.29786,1.47275,0.000706335,0.000706335,0.000706335
57,17235.5,1.31856,1.17803,1.40265,0.72519,0.65184,0.71928,0.44394,1.26623,1.3002,1.4684,0.00069682,0.00069682,0.00069682
58,17534.6,1.31378,1.1697,1.39324,0.72173,0.65335,0.7159,0.44298,1.26432,1.29752,1.471,0.000687222,0.000687222,0.000687222
59,17833.8,1.31256,1.16757,1.39085,0.71472,0.66285,0.71544,0.44254,1.26476,1.28276,1.47163,0.000677543,0.000677543,0.000677543
60,18132.9,1.30526,1.15832,1.38434,0.70634,0.67728,0.71968,0.44316,1.27015,1.26798,1.47583,0.000667789,0.000667789,0.000667789
61,18432.1,1.30077,1.14649,1.37964,0.71226,0.67095,0.7188,0.444,1.26881,1.26849,1.47081,0.000657963,0.000657963,0.000657963
62,18731,1.30495,1.14448,1.38522,0.72147,0.66478,0.72021,0.44509,1.26568,1.26807,1.46804,0.000648071,0.000648071,0.000648071
63,19030.8,1.28777,1.12225,1.37505,0.73048,0.65978,0.72321,0.44468,1.26758,1.25679,1.46878,0.000638115,0.000638115,0.000638115
64,19330.1,1.29167,1.12466,1.37724,0.73174,0.66527,0.72344,0.44532,1.26502,1.24022,1.46774,0.000628101,0.000628101,0.000628101
65,19629.8,1.2835,1.11236,1.36395,0.73521,0.65976,0.72373,0.44686,1.26351,1.24046,1.4664,0.000618034,0.000618034,0.000618034
66,19929.3,1.26985,1.09606,1.35978,0.73782,0.65766,0.72358,0.44711,1.26312,1.24561,1.46479,0.000607916,0.000607916,0.000607916
67,20229.1,1.27286,1.09783,1.36344,0.7342,0.66138,0.72409,0.44627,1.26141,1.2434,1.46296,0.000597754,0.000597754,0.000597754
68,20528,1.27522,1.09295,1.35873,0.73472,0.66094,0.7219,0.44602,1.26317,1.2445,1.46661,0.000587551,0.000587551,0.000587551
