epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.005,1.74126,2.18291,1.6267,0.32406,0.31558,0.20296,0.08917,1.79883,3.64266,1.8078,0.000332834,0.000332834,0.0670495
2,421.627,1.7051,1.92818,1.60357,0.41528,0.43981,0.37441,0.17258,1.7624,3.08891,1.79455,0.000666095,0.000666095,0.0340494
3,552.901,1.69185,1.86179,1.58965,0.50328,0.438,0.41033,0.19017,1.7772,2.19182,1.81513,0.000999066,0.000999066,0.00104904
4,684.505,1.66177,1.81079,1.56862,0.54913,0.4952,0.49681,0.25195,1.60819,1.91057,1.6334,0.000999023,0.000999023,0.000999023
5,820.365,1.64135,1.76886,1.54885,0.58265,0.52998,0.54081,0.28685,1.55692,1.98865,1.60971,0.000998264,0.000998264,0.000998264
6,947.055,1.62539,1.73097,1.53617,0.59847,0.5469,0.5645,0.29295,1.55751,1.79914,1.59491,0.000997288,0.000997288,0.000997288
7,1077.96,1.60842,1.70551,1.53252,0.57872,0.50189,0.50323,0.25099,1.65199,2.17226,1.68222,0.000996097,0.000996097,0.000996097
8,1204.26,1.60147,1.68655,1.52172,0.603,0.5442,0.56643,0.30034,1.54377,1.79953,1.58305,0.00099469,0.00099469,0.00099469
9,1336.33,1.58596,1.66298,1.50768,0.63338,0.54438,0.58699,0.31408,1.52624,1.68117,1.57245,0.000993068,0.000993068,0.000993068
10,1465.28,1.58931,1.6565,1.51307,0.60492,0.55834,0.58707,0.32188,1.51005,1.70577,1.56402,0.000991232,0.000991232,0.000991232
11,1595.27,1.57098,1.63151,1.50149,0.5987,0.56097,0.57639,0.31415,1.51576,1.68501,1.57973,0.000989183,0.000989183,0.000989183
12,1720.68,1.56916,1.62445,1.49887,0.63733,0.56993,0.5937,0.32434,1.51546,1.65084,1.58065,0.000986922,0.000986922,0.000986922
13,1841.27,1.55642,1.60021,1.49139,0.67134,0.56214,0.61852,0.33339,1.53875,1.55099,1.57645,0.000984449,0.000984449,0.000984449
14,1969.36,1.5527,1.58305,1.48273,0.63451,0.58079,0.61773,0.34042,1.49646,1.599,1.5525,0.000981765,0.000981765,0.000981765
15,2093.99,1.54436,1.58227,1.4826,0.66201,0.57186,0.61834,0.34727,1.47403,1.50228,1.54145,0.000978873,0.000978873,0.000978873
16,2219.19,1.54209,1.55931,1.48004,0.65925,0.57246,0.62559,0.35587,1.46473,1.55349,1.53687,0.000975773,0.000975773,0.000975773
17,2343.01,1.52979,1.55376,1.47152,0.66927,0.58364,0.63265,0.3529,1.47608,1.48549,1.53813,0.000972466,0.000972466,0.000972466
18,2467.59,1.53483,1.54027,1.46781,0.62906,0.58681,0.61672,0.35022,1.47218,1.51304,1.53831,0.000968955,0.000968955,0.000968955
19,2592.74,1.52901,1.54594,1.47475,0.67771,0.58781,0.6396,0.36018,1.48027,1.55604,1.55207,0.000965239,0.000965239,0.000965239
20,2718.8,1.52035,1.52457,1.46026,0.65756,0.60781,0.64745,0.36816,1.46855,1.4533,1.52508,0.000961322,0.000961322,0.000961322
21,2844.51,1.50917,1.50344,1.45472,0.66384,0.58907,0.6375,0.36455,1.46806,1.41933,1.53987,0.000957205,0.000957205,0.000957205
22,2967.41,1.50693,1.50325,1.4487,0.66689,0.59889,0.64005,0.36553,1.4443,1.51405,1.52174,0.000952889,0.000952889,0.000952889
23,3091.15,1.50156,1.49195,1.4497,0.68896,0.60074,0.65915,0.37538,1.45983,1.42954,1.52433,0.000948377,0.000948377,0.000948377
24,3216.5,1.50614,1.49513,1.45157,0.68006,0.58938,0.64858,0.36256,1.45807,1.46894,1.52259,0.000943671,0.000943671,0.000943671
25,3340.05,1.51033,1.48365,1.44926,0.69892,0.58243,0.65311,0.37701,1.43537,1.43477,1.51454,0.000938772,0.000938772,0.000938772
26,3465.09,1.49414,1.48018,1.44709,0.66497,0.60748,0.64665,0.37746,1.42051,1.45208,1.50136,0.000933683,0.000933683,0.000933683
27,3584.08,1.49069,1.45781,1.4366,0.68267,0.61088,0.65237,0.37866,1.4351,1.384,1.50795,0.000928405,0.000928405,0.000928405
28,3706.76,1.48054,1.45948,1.43384,0.68568,0.60567,0.65761,0.38263,1.43416,1.37829,1.51565,0.000922942,0.000922942,0.000922942
29,3828.45,1.48782,1.4551,1.44049,0.68832,0.59611,0.65713,0.38744,1.42417,1.48385,1.4959,0.000917296,0.000917296,0.000917296
30,3948.15,1.48126,1.44537,1.4387,0.68541,0.60956,0.66077,0.38637,1.42609,1.36204,1.50766,0.000911469,0.000911469,0.000911469
31,4069.83,1.47899,1.44508,1.4295,0.68649,0.60516,0.66049,0.38844,1.41631,1.39916,1.4976,0.000905463,0.000905463,0.000905463
32,4190.37,1.4769,1.42922,1.43213,0.6998,0.60705,0.66725,0.39314,1.41738,1.36109,1.49183,0.000899282,0.000899282,0.000899282
33,4313.68,1.46685,1.42695,1.42798,0.69215,0.61947,0.67213,0.39516,1.40276,1.33814,1.48736,0.000892928,0.000892928,0.000892928
34,4438.96,1.46687,1.41676,1.42626,0.69097,0.61922,0.67245,0.39483,1.40984,1.33355,1.49348,0.000886404,0.000886404,0.000886404
35,4563.51,1.4663,1.40848,1.42336,0.70692,0.6267,0.67481,0.3964,1.40927,1.37324,1.48335,0.000879713,0.000879713,0.000879713
36,4688.67,1.46481,1.4151,1.42098,0.68449,0.62949,0.67729,0.40212,1.40452,1.3306,1.4851,0.000872857,0.000872857,0.000872857
37,4812.36,1.46476,1.40869,1.42401,0.69454,0.62912,0.67676,0.3999,1.41104,1.32217,1.48865,0.000865839,0.000865839,0.000865839
38,4935.85,1.46471,1.41112,1.41895,0.7087,0.62007,0.67763,0.39927,1.40424,1.32723,1.48168,0.000858664,0.000858664,0.000858664
39,5058.75,1.4469,1.38318,1.40671,0.70297,0.63518,0.68129,0.40135,1.38929,1.29139,1.47754,0.000851333,0.000851333,0.000851333
40,5182.98,1.45055,1.39014,1.41388,0.68969,0.63352,0.6818,0.40427,1.40033,1.29262,1.48143,0.000843851,0.000843851,0.000843851
41,5308.73,1.44852,1.38234,1.4046,0.69935,0.62291,0.67005,0.4002,1.40684,1.33906,1.48032,0.00083622,0.00083622,0.00083622
42,5433.43,1.44705,1.37413,1.40383,0.69736,0.63662,0.68584,0.40937,1.39924,1.28335,1.47567,0.000828443,0.000828443,0.000828443
43,5559,1.44228,1.36382,1.40147,0.70899,0.63143,0.68644,0.40888,1.38839,1.29693,1.46589,0.000820525,0.000820525,0.000820525
44,5680.41,1.43867,1.36516,1.3969,0.70277,0.62525,0.68181,0.40682,1.40696,1.29676,1.48552,0.000812468,0.000812468,0.000812468
45,5804.64,1.44744,1.3649,1.40621,0.71604,0.63424,0.69163,0.41286,1.39423,1.27502,1.48211,0.000804277,0.000804277,0.000804277
46,5930.22,1.43806,1.35307,1.39136,0.71766,0.62655,0.68942,0.41053,1.39478,1.27915,1.47265,0.000795954,0.000795954,0.000795954
