epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.109,1.74462,2.04818,1.66041,0.43527,0.40847,0.34793,0.15732,1.80136,2.44321,1.91332,0.000333056,0.000333056,0.0670275
2,319.851,1.7242,1.92741,1.65233,0.49349,0.43405,0.41535,0.20338,1.68395,2.7428,1.78426,0.000666317,0.000666317,0.0340274
3,474.28,1.70131,1.88449,1.63087,0.51255,0.48461,0.45239,0.22199,1.65617,2.27736,1.75323,0.000999288,0.000999288,0.00102707
4,627.904,1.67682,1.83624,1.61002,0.5669,0.51516,0.51492,0.26328,1.61358,1.90703,1.69719,0.000999023,0.000999023,0.000999023
5,781.415,1.63879,1.77285,1.58446,0.60812,0.54444,0.56826,0.29856,1.56775,1.83664,1.65348,0.000998264,0.000998264,0.000998264
6,935.156,1.62045,1.7293,1.56339,0.60139,0.52258,0.55254,0.29293,1.56015,1.83176,1.64151,0.000997288,0.000997288,0.000997288
7,1088.27,1.60743,1.7055,1.5518,0.62038,0.56311,0.59306,0.31854,1.53397,1.71943,1.63829,0.000996097,0.000996097,0.000996097
8,1242.02,1.58946,1.67576,1.53961,0.61948,0.55814,0.59508,0.324,1.50073,1.63708,1.61608,0.00099469,0.00099469,0.00099469
9,1396.04,1.57697,1.65462,1.52638,0.60781,0.5707,0.59144,0.32333,1.48002,1.74941,1.58852,0.000993068,0.000993068,0.000993068
10,1549.06,1.56647,1.63145,1.52498,0.62987,0.57285,0.60322,0.33274,1.49251,1.77846,1.57731,0.000991232,0.000991232,0.000991232
11,1702.94,1.55763,1.62438,1.52346,0.61977,0.58048,0.60235,0.33572,1.47937,1.65829,1.59217,0.000989183,0.000989183,0.000989183
12,1856.63,1.54986,1.60201,1.51727,0.63273,0.57255,0.59278,0.32586,1.48957,1.6526,1.60931,0.000986922,0.000986922,0.000986922
13,2009.85,1.54029,1.58286,1.51023,0.65638,0.59403,0.64217,0.35721,1.4576,1.57338,1.55935,0.000984449,0.000984449,0.000984449
14,2163.65,1.52886,1.55453,1.50261,0.6625,0.59277,0.64219,0.35901,1.45401,1.51576,1.56051,0.000981765,0.000981765,0.000981765
15,2317.02,1.5322,1.55499,1.49333,0.65325,0.59053,0.63266,0.35457,1.46362,1.55069,1.57835,0.000978873,0.000978873,0.000978873
