epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.618,1.346,1.19135,1.34451,0.6904,0.61527,0.67062,0.39702,1.41077,1.36108,1.54063,0.000149879,0.000149879,0.0501903
2,359.116,1.29221,1.11195,1.31467,0.7113,0.63183,0.68428,0.4128,1.37251,1.21174,1.50743,0.000299675,0.000299675,0.000340063
3,519.952,1.28042,1.08384,1.30311,0.71464,0.63721,0.6927,0.41146,1.39541,1.19811,1.52054,0.000299187,0.000299187,0.000299187
4,682.75,1.27691,1.07846,1.2991,0.69643,0.64532,0.68095,0.40103,1.39523,1.28434,1.52845,0.000298172,0.000298172,0.000298172
5,849.209,1.28077,1.08121,1.30057,0.7188,0.62915,0.69654,0.41369,1.39351,1.20933,1.52017,0.000296755,0.000296755,0.000296755
6,1008.44,1.27834,1.07514,1.30004,0.69959,0.63953,0.69088,0.41019,1.39722,1.21479,1.52705,0.00029494,0.00029494,0.00029494
7,1166.72,1.26626,1.05453,1.2918,0.69681,0.63604,0.68922,0.40893,1.40544,1.23477,1.53277,0.000292732,0.000292732,0.000292732
8,1325.07,1.27003,1.06191,1.29112,0.70067,0.64943,0.69178,0.41009,1.40396,1.20597,1.53426,0.000290137,0.000290137,0.000290137
9,1485.27,1.27169,1.05307,1.28829,0.69617,0.64033,0.68446,0.40529,1.39605,1.19994,1.52694,0.000287162,0.000287162,0.000287162
10,1645.97,1.26347,1.05047,1.2908,0.70952,0.62954,0.68635,0.41394,1.39748,1.21256,1.53489,0.000283814,0.000283814,0.000283814
11,1805.5,1.26268,1.04484,1.28701,0.69984,0.63585,0.68149,0.40908,1.38996,1.20942,1.52634,0.000280105,0.000280105,0.000280105
12,1965.83,1.26502,1.04226,1.28697,0.70084,0.64415,0.68487,0.405,1.40803,1.21815,1.54754,0.000276043,0.000276043,0.000276043
13,2126.34,1.25854,1.03834,1.28575,0.68791,0.6524,0.68476,0.40486,1.40521,1.21411,1.53558,0.000271639,0.000271639,0.000271639
14,2284.25,1.25344,1.03596,1.28505,0.69147,0.63446,0.68312,0.40267,1.41057,1.22638,1.54174,0.000266906,0.000266906,0.000266906
15,2442.13,1.25409,1.0251,1.27746,0.71672,0.62672,0.68537,0.4064,1.40655,1.21174,1.54331,0.000261857,0.000261857,0.000261857
16,2600.32,1.25449,1.02192,1.28031,0.6896,0.66093,0.68895,0.41013,1.39833,1.20992,1.53813,0.000256505,0.000256505,0.000256505
17,2758.64,1.24969,1.02927,1.28173,0.70682,0.63891,0.68585,0.40594,1.41944,1.19464,1.55943,0.000250866,0.000250866,0.000250866
18,2917.17,1.24342,1.01605,1.27646,0.69045,0.64241,0.6818,0.4035,1.40398,1.22088,1.54601,0.000244954,0.000244954,0.000244954
19,3075.68,1.24269,1.00969,1.2699,0.68865,0.65306,0.68842,0.40988,1.40559,1.19704,1.55894,0.000238786,0.000238786,0.000238786
20,3234.39,1.24259,1.01102,1.27321,0.70825,0.64205,0.68611,0.40705,1.40656,1.20153,1.54932,0.000232379,0.000232379,0.000232379
21,3393.11,1.23837,0.99991,1.26895,0.68834,0.64754,0.68797,0.40884,1.4139,1.19953,1.55246,0.00022575,0.00022575,0.00022575
22,3552.07,1.23798,0.99751,1.26774,0.7037,0.62921,0.68758,0.40765,1.41723,1.20211,1.55664,0.000218918,0.000218918,0.000218918
23,3711.12,1.23917,0.99328,1.26515,0.70089,0.63529,0.68335,0.40694,1.41989,1.22025,1.56394,0.0002119,0.0002119,0.0002119
24,3870.01,1.23109,0.98456,1.26511,0.70454,0.63503,0.68073,0.40389,1.4091,1.21739,1.55993,0.000204718,0.000204718,0.000204718
25,4028.61,1.23489,0.99329,1.26627,0.69941,0.63789,0.6775,0.4025,1.40802,1.2195,1.55359,0.000197389,0.000197389,0.000197389
