epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.699,1.31379,1.09456,1.31445,0.68279,0.65956,0.68688,0.41025,1.40267,1.20341,1.54702,9.99313e-05,9.99313e-05,0.00016866
2,375.04,1.25281,0.98722,1.27691,0.6978,0.64286,0.68738,0.41055,1.41078,1.2083,1.54502,9.9446e-05,9.9446e-05,9.9446e-05
3,559.648,1.24515,0.98053,1.2702,0.69409,0.65326,0.69437,0.41647,1.39081,1.18379,1.53012,9.77975e-05,9.77975e-05,9.77975e-05
4,744.825,1.24025,0.96107,1.2639,0.70435,0.6427,0.69239,0.41277,1.3991,1.19708,1.5322,9.50953e-05,9.50953e-05,9.50953e-05
5,929.045,1.2336,0.9654,1.26203,0.70355,0.6352,0.68574,0.41236,1.40224,1.21113,1.54178,9.14058e-05,9.14058e-05,9.14058e-05
6,1113.06,1.2325,0.9538,1.25884,0.71173,0.63575,0.69377,0.41495,1.39696,1.17552,1.53878,8.68198e-05,8.68198e-05,8.68198e-05
7,1297.26,1.22662,0.94991,1.25799,0.7153,0.64237,0.68818,0.41033,1.4193,1.17444,1.56522,8.14503e-05,8.14503e-05,8.14503e-05
8,1481.52,1.22488,0.94692,1.2584,0.6848,0.65032,0.68683,0.40991,1.40338,1.19085,1.5516,7.54296e-05,7.54296e-05,7.54296e-05
9,1666.2,1.21848,0.94207,1.25291,0.70889,0.63793,0.68955,0.41,1.40715,1.20832,1.55441,6.89058e-05,6.89058e-05,6.89058e-05
10,1850.96,1.22193,0.93574,1.25411,0.69662,0.64658,0.68608,0.40964,1.41087,1.2062,1.55768,6.20396e-05,6.20396e-05,6.20396e-05
